date_range_start,date_range_end,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061674,17,11
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110262,14,14
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111180,26,79
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48190191,20,19
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48040039,9,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061043,12,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080101,6,17
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48160129,20,18
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48190440,8,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080525,25,29
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080530,43,38
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110699,11,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48010241,5,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48150133,1,1
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48170341,2,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060234,5,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060865,23,18
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061008,3,2
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062003,13,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48070140,9,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100288,13,13
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110261,11,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112112,8,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48010208,13,13
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110117,9,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48120145,6,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061385,22,37
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080240,3,2
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080363,9,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111135,15,13
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111875,5,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48030099,9,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061517,12,11
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110743,8,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111084,8,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111457,16,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112149,26,17
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112165,20,21
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48020242,7,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060071,7,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060628,38,38
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062162,8,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080325,9,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110172,11,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111506,3,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111775,1,0
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112226,66,63
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48170253,7,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060633,5,2
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061332,7,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48150146,4,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48030129,3,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060074,5,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48070146,8,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100246,8,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100327,13,15
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112026,15,13
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48170258,7,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48180043,7,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48190151,2,2
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48190454,5,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060684,7,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061786,4,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100290,10,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110408,8,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110730,14,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111671,7,18
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48030093,7,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060792,9,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080102,7,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110342,6,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111668,5,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112104,9,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061840,143,134
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062158,42,174
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062215,12,15
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080375,3,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112086,13,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48160146,4,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061221,4,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061823,4,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062421,13,11
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062399,6,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48070136,1,2
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100281,12,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110852,6,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48030121,3,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060254,11,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110219,9,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48120240,7,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48130300,4,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060077,12,13
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060319,2,1
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061116,7,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061230,19,20
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061721,8,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112362,14,23
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48150125,1,1
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061902,6,6
